VfL Wolfsburg - Salzburg,Wolfsburg - Salzburg
Malmo FF - Chelsea FC,Malmo - Chelsea
1. FC Union Berlin - Feyenoord Rotterdam,Union Berlin - Feyenoord
Tottenham Hotspur - Vitesse Arnhem,Tottenham - Vitesse
SK Slavia Praga - Maccabi Hajfa FC,Slavia Praga - Macc. Haifa
Roma - Bodo/Glimt,Roma - Bodo/Glimt
Rennes - Mura,Rennes - Mura
PAOK Saloniki - FC Kopenhaga,PAOK Saloniki - FC Kopenhaga
FC Zorya Lugansk - CSKA Sofia,Zoria Ługańsk - CSKA Sofia
Randers FC - FK Jablonec,Randers - Jablonec
Omonia Nikozja - FC Basel 1893,Omonia Nikozja - Basel
Maccabi Tel Aviv FC - HJK Helsinki,Macc. Tel Aviv - HJK Helsinki
Lincoln Red Imps - SK Slovan Bratysława,Lincoln Red Imps - Sl. Bratysława
LASK - FC Alashkert,LASK - Alashkert
KAA Gent - FK Partizan,Gent - Partizan Belgrad
AZ Alkmaar - FC CFR 1907 Cluj,Alkmaar - CFR Cluj
Kajrat Ałmaty - Qarabag FK,Kajrat Ałmaty - Qarabag
Flora Tallin - Anorthosis Famagusta FC,Flora Tallin - Anorthosis
Olympique Marsylia - Lazio,Marsylia - Lazio
Bayer Leverkusen - Betis,Leverkusen - Betis
NK Dinamo Zagrzeb - Rapid Wiedeń,Din. Zagrzeb - Rapid Wiedeń
Crvena Zvezda Belgrad - FC Midtjylland,Crvena Zvezda - Midtjylland
Braga - PFC Ludogorets 1945 Razgrad,Braga - Ludogorets
Antwerp - Fenerbahce,Antwerp - Fenerbahce
Real Sociedad - Sturm Graz,Real Sociedad - Sturm Graz
Olympiakos Pireus - Eintracht Frankfurt,Olympiakos - Ein. Frankfurt
Monaco - PSV Eindhoven,Monaco - PSV
Lyon - Sparta Praga,Lyon - Sparta Praga
Legia - Napoli,Legia - Napoli
KRC Genk - West Ham United,Genk - West Ham
Galatasaray - Lokomotiv Moskwa,Galatasaray - Lok. Moskwa
Broendby - Glasgow Rangers,Brondby - Rangers
Widzew Łódź - Jastrzębie,Widzew - Jastrzębie
Wieczysta Kraków - Garbarnia Kraków,Wieczysta Kraków - Garbarnia
Deportes Quindío - Santa Fe,Deportes Quindio - Ind. Santa Fe
AL Wakrah - Umm-Salal SC,Al Wakrah - Umm Salal
Qatar SC - Al-Sailiya SC,Qatar SC - Al Sailiya
Al-Khor SC - Al Arabi Doha SC,Al Khor - Al Arabi Doha
Eastern Company Sc - Ghazl El Mahallah,Eastern Company SC - Ghazl El Mahallah
Hvidovre IF - Lyngby BK,Hvidovre - Lyngby
Nykøbing FC - Hobro IK,Nykobing - Hobro
Esbjerg fB - Jammerbugt FC,Esbjerg - Jammerbugt
Viborg FF - FC Nordsjælland,Viborg - Nordsjaelland
1.SK Prostejov - FK Viktoria Žižkov,Prostejov - Zizkov
SFC Opava - AC Sparta Praha B,Opava - Sparta Praga II
SK Lísen - 1.FK Príbram,Lisen - Pribram
FK Dukla Praha - FC Zbrojovka Brno,Dukla Praga - Brno
FK Fotbal Trinec - FC Sellier & Bellot Vlašim,Trinec - Vlasim
MFK Chrudim - Ústí nad Labem,Chrudim - Usti nad Labem
FC Vysocina Jihlava - MFK Vyškov,Jihlava - Vyskov
FC Slovan Liberec - Bohemians 1905,Slovan Liberec - Bohemians Praga
FC Hradec Králové - FC Baník Ostrava,Hradec Kralove - Ostrava
SK Ceské Budejovice - FK Mladá Boleslav,C. Budejovice - Mlada Boleslav
Sao Bernardo - Sao Caetano,Sao Bernardo FC - Sao Caetano
Villarreal U19 - Young Boys U19,Villarreal U19 - Young Boys U19
Sevilla U19 - Lille U19,Sevilla U19 - Lille U19
Bayern U19 - SL Benfica,Bayern U19 - Benfica U19
Dyn. Kijów U19 - FC Barcelona,Dyn. Kijów U19 - Barcelona U19
Wolfsburg U19 - FC RB Salzburg U19,Wolfsburg U19 - Salzburg U19
Blau-Weiss Linz - Hartberg,BW Linz - Hartberg
Nueva Chicago - Tigre,Nueva Chicago - CA Tigre
Central Córdoba - Aldosivi,Central Cordoba - Aldosivi
Plymouth Argyle - Arsenal U21,Plymouth - Arsenal U21
Salford City FC - Leeds United U21,Salford - Leeds U21
Rochdale - Bolton,Rochdale - Bolton
Northampton  - Brighton and Hove Albion U21,Northampton - Brighton U21
Hartlepool United - Everton U21,Hartlepool - Everton U21
Yate  FC - Salisbury City,Yate - Salisbury
Leiston - Needham Market,Leiston - Needham
Alvechurch - Stratford,Alvechurch - Stratford
Nantwich  - Gainsborough Trinity,Nantwich - Gainsborough
Bamber Bridge - Whitby,Bamber Bridge - Whitby
Wingate and Finchley - Worthing,Wingate Finchley - Worthin
Lewes - Carshalton Athletic,Lewes - Carshalton
Folkestone Invicta - AFC Hornchurch,Folkestone - Hornchurch
Corinthian-Casuals FC - Margate,Corinthian - Margate
Concord Rangers - Dartford,Concord - Dartford
Southport - Chorley,Southport - Chorley
Millwall U23 - Watford U23,Millwall U23 - Watford U23
Barnsley U23 - Coventry U23,Barnsley U23 - Coventry U23
Woking - Bromley,Woking - Bromley
Southend United - Dover Athletic,Southend - Dover
Wycombe Wanderers - Ipswich,Wycombe - Ipswich
Sheffield Wednesday - Sunderland,Sheffield Wed. - Sunderland
